sentiment,text,clean_text,person_count,org_count,loc_count
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundry division report sale increased eur eur corresponding period sale machine shop division increased eur eur corresponding period,0,2,0
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx share closed higher led nokia announced plan team sanyo manufacture handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said,3,1,0
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue,2,1,0
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",board director propose dividend eur per share eur per share paid,0,1,0
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree founded revenue risen average margin late,1,0,0
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova trilateral agreement investment construction technology park petersburg signed course forum day russian economy opened helsinki today,1,1,0
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,0,2,0
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income life insurance doubled eur eur net income nonlife insurance rose eur eur corresponding period,0,1,0
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sale increased eur eur pretax profit rose eur eur usd,0,4,0
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sale surged eur teleste said eur sale came acquisition made,1,2,0
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group operating profit increased percent yearonyear billion euro total revenue percent billion euro,0,1,0
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit ninemonth period increased eur net sale increased eur compared corresponding period,0,2,0
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operating profit ninemonth period increased eur net sale increased eur compared corresponding period,0,2,0
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit threemonth period increased eur revenue increased eur compared corresponding period,0,2,0
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",brazilian unit finnish security solution provider fsecure signed new client last year online news source reseller web quoted division commercial director vladimir brando saying,2,0,0
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",company net profit rose year million euro sale million euro year company said earlier,0,0,0
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",lithuanian beer market made million liter january rise percent yearearlier figure lithuanian brewer association reporting citing result member,0,1,0
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line cargo revenue increased eur cargo volume increased cargo unit,1,1,0
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",fair value property portfolio doubled result kapiteeli acquisition totalled eur million,0,1,0
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,february finnish medium company sanoma oyj hel saav said yesterday net profit almost tripled eur eur announced proposal raised payout,2,2,0
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",helsinki eliiv today reported eps eur increase eps eur,0,2,0
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",aspo plc stock exchange release february esl shipping ltd part aspo group signed new longterm contract rautaruukki corporation marine transport raw material baltic sea,2,4,0
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased eur lending volume rose,0,1,0
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",january traffic measured revenue passenger kilometre rpk went capacity measured available seat kilometre ask rose,0,2,0
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",januaryseptember fiskars net profit went yearonyear eur million net sale eur million eur million,1,1,0
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income life insurance rose eur eur net income nonlife insurance eur eur,0,1,0
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar also agreed supply talvivaara tonne sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,0,0,0
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sale department store division hobby hall increased sale clothing store subsidiary seppala decreased,2,1,0
positive,Sales have risen in other export markets .,sale risen export market,0,0,0
positive,Sales increased due to growing market rates and increased operations .,sale increased due growing market rate increased operation,1,0,0
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,agreement strengthens longterm partnership nokia siemens network,1,0,0
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufacture market liquid handling product diagnostic test system,2,0,0
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimate already carried investment lead increase net sale reached eur million,0,1,0
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",company order book stood bln euro bln september pct year international order amounting mln euro mln,0,0,0
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",company said paper demand increased main market including publication paper increased average paper price percent compared last year,0,0,0
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second largest stainless steel maker said net profit threemonth period dec surged euro million million euro per share euro million euro per share previous year,0,0,0
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia,2,1,0
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",seppala revenue increased eur finland revenue went down eur sale abroad rose eur sale increased baltic country well russia ukraine,1,4,0
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",share standard chartered stan rose ftse royal bank scotland rb share rose barclays share barc bcs,2,6,0
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,share nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,0,1,0
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",financial report published friday seb said net profit soared sek yearearlier sek proposed dividend increase sek per share,0,3,0
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,sale department store division increased sale clothing store subsidiary seppala increased meanwhile sale hobby hall decreased,2,1,0
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics drawn future scenario finland national economy using model developed university denver,2,3,0
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",sweden gallerix accumulated sek denominated sale down eur denominated sale,1,2,0
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,company support global customer developing new technology offer fast route product development application volume production,0,0,0
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",investment place atrium plan expand moscow market,0,0,0
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo ita pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,3,3,0
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",first contract envisaged construction three ferryboat option two unit confirmed total value mln euro mln,0,0,0
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",june sold percent stake nordstjernan investment group taken option acquire eqt remaining share,0,1,0
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,2,3,0
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,sponda plc stock exchange release december eur billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total eur billion,0,5,0
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,stock exchange announcement july basware share subscription warrant increase share capital total share subscribed basware warrant program,0,3,0
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",contract cover hdo platform cxe optical fttb node designed increase forward return path capacity transmission network,0,3,0
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,new plant planned electricity generation capacity megawatt heat generation capacity,0,0,0
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",omx helsinki index pct helsinki cap portfolio index pct higher,0,2,0
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",sale growth car considerably influence tire market,0,0,0
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum new share subscribed exercising option stock option plan,0,0,0
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",result share issue number company share increase share share capital total eur,0,1,0
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",finnish real estate investor sponda plc said wednesday march signed agreement danske bank helsinki branch year eurm credit facility ilmarinen mutual pension insurance company year eurm credit facility,4,2,0
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",route helsinki finland tallinn estonia cargo volume increased cargo volume finland sweden fell,1,1,0
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",measure included increasing synergy economy scale within grimaldi group personnel adjustment divestments redelivery excess tonnage,0,1,0
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",rinkuskiai raised sale percent million liter sale kauno alus grew percent liter,2,0,0
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwire april group plc sell stake morning digital design finnish company group plc said friday april signed agreement selling share morning digital design edita oyj,1,2,0
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwire april group plc sell stake morning digital design finnish company group plc said friday april signed agreement selling share morning digital design edita oyj,1,2,0
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",new series share become subject trading helsinki stock exchange main list together old series share july,1,1,0
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,fuel purchase contract signed three month delivery september november,0,0,0
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,tiimari operates store six country including core finnish market generated turnover mln eur,0,0,0
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,agreement biohit becomes focus supplier pipettors disposable pipettor tip vwr customer throughout europe,1,1,0
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",combination service enabling offer complex strengthened service chain not limited baltic port connection also getting access world wide grimaldi network mediterranean africa north america say uwe bakosch,2,2,0
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,blindspots coming vantage point allows investigator see whole story high resolution unbroken video,0,0,0
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",company still expects turnover slightly increase level adding market predictability still poor trustworthy forecast market development contract manufacturing business current year,0,0,0
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,acquisition considerably increase kemira sale market position russian metal industry coating market,1,0,0
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",januaryseptember finnlines net sale rose eur eur corresponding period,1,1,0
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjusted change group structure division net sale increased,0,1,0
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",change optimize operational efficiency growing business said julia prohaska director marketing communication fiskars,2,0,0
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",would invest not physical infrastructure would also provide knowhow managing developing science technology park said sunrise valley director andrius bagdonas,2,0,0
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",february finnish broadband data communication system provider teleste oyj hel tltv saw net profit jump eur last quarter eur period,1,2,0
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,finnish aktia group operating profit rose eur first quarter eur first quarter,0,2,0
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,finnish bank land consolidated net operating profit increased eur first quarter eur first quarter,0,2,0
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financial group aktia report operating profit eur januaryseptember eur corresponding period,1,1,0
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technology provider vaahto group report net sale eur accounting period september february increase year earlier,1,1,0
positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sale finnish food industry company lnnen tehtaat continuing operation increased eur eur,1,1,0
positive,An individual promotion also generated slightly higher-than-expected revenues .,individual promotion also generated slightly higherthanexpected revenue,0,0,0
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,biohit already service many current genesis customer customer base expected expand result agreement,0,0,0
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",operating profit turnover threemonth period increased respectively eur eur compared corresponding period,0,2,0
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue increased finland sweden,0,0,0
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,clothing chain seppl net sale increased eur,0,1,0
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,construction volume meanwhile grow rate percent annually,0,0,0
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,finnish swedish construction market still experiencing estimated annual growth,0,0,0
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",however biohit estimate total net sale continue grow favourable trend net sale lead profit,1,0,0
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",fiskars cash flow operating activity amounted eurm eurm previous year,1,0,0
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",lithuania operating profit rose eur eur corresponding period,0,1,0
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",fourth quarter net sale increased eur eur fourth quarter,0,1,0
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",international sale rose eur,0,1,0
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,kalmar espana generated net sale mln euro mln,2,0,0
positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,net sale grew period xac million million xac million,0,0,0
positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,net sale increased eurm april june eurm year earlier,0,1,0
positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sale rose yearonyear eur number charger delivered went million piece,0,1,0
positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sale totaled eur eur corresponding period,0,1,0
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",nokia also noted average selling price handset declined period though mobile phone profit margin rose percent percent yearago quarter,1,0,0
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,operating profit increased eur eur,0,1,0
positive,Operating profit margin increased from 11.2 % to 11.7 % .,operating profit margin increased,0,0,0
positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,operating profit rose eur eur corresponding period,0,1,0
positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,operating profit rose eur eur fourth quarter,0,1,0
positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",operating profit eur eur,0,1,0
positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",ramirent net sale second quarterended june euro million million percent increase compared euro million thesecond quarter last year,0,1,0
positive,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",revenue grew percent xac million million xac million,1,0,0
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,ruukki announced signed agreement aker solution norway supply suction anchor september kalajoki unit finland,2,0,0
positive,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",ruukki delivery volume selling price showed favourable development company comparable net sale grew yearonyear eurm ceo sakari tamminen said,0,1,0
positive,Sanoma Magazines ' net sales are estimated to grow in 2006 .,sanoma magazine net sale estimated grow,2,0,0
positive,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,bank forecast finland gdp grow,0,1,0
positive,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",circuit overall production rate weekly basis excess average tonne per day volume excess tonne per day reached individual day,0,0,0
positive,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",company consolidated operating profit amounted eur eur yearonyear,0,1,0
positive,The Department Store Division reported an increase in sales of 4 per cent .,department store division reported increase sale per cent,0,1,0
positive,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,fair value company investment property grew eur billion end march eur million year ago,0,1,0
positive,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",last quarter best quarter net sale operating margin rose,0,0,0
positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",major brewery increased domestic beer sale per cent last year million litre million litre,0,0,0
positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",transaction double tecnomens workforse add fourth net sale,0,0,0
positive,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,operating profit rose eur million,0,1,0
positive,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",purchase cramo become second largest rental service provider latvian market,1,0,0
positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",priority strengthen company balance sheet increase cash flow ceo hannu krook said,0,1,0
positive,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',purchase operation part yit strategy expand offering building system service geographically,0,1,0
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,october finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur first nine month eur period year earlier,1,3,0
